Atlantic silverside,Menidia,menidia,748,2023
striped killifish,Fundulus,majalis,62,2023
northern pipefish,Syngnathus,fuscus,1,2023
sheepshead minnow,Cyprinodon ,variegatus,42,2023
pufferfish (northern or southern),Sphoeroides ,maculatus,1,2023
Atlantic needlefish,Strongylura,marina,2,2023
permit,Trachinotus,falcatus,2,2023
jack (Carangidae) sp.,,,1,2023
shad/herring (Clupeidae) sp.,,,44,2023
anchovy,Engraulis,sp.,2,2023
Atlantic silverside,Menidia,menidia,3499,2022
striped killifish,Fundulus,majalis,133,2022
bluefish,Pomatomus ,saltatrix,37,2022
northern pipefish,Syngnathus,fuscus,2,2022
tautog/cunner,,,1,2022
Mummichog,Fundulus,heteroclitus,12,2022
jack (Carangidae) sp.,,,4,2022
shad/herring (Clupeidae) sp.,,,6,2022
scup,Stenotomus,chrysops,200,2022
Atlantic silverside,Menidia,menidia,3046,2021
striped killifish,Fundulus,majalis,42,2021
longhorn sculpin,Myoxocephalus ,octodecemspinosus,2,2021
northern pipefish,Syngnathus,fuscus,6,2021
Atlantic needlefish,Strongylura,marina,1,2021
goby sp.,,,3,2021
permit,Trachinotus,falcatus,1,2021
Mummichog,Fundulus,heteroclitus,1,2021
northern sea robin,Prionotus ,carolinus,1,2021
tautog/cunner,,,1,2021
bluefish,Pomatomus ,saltatrix,1,2021
Atlantic silverside,Menidia,menidia,4382,2020
striped killifish,Fundulus,majalis,56,2020
sheepshead minnow,Cyprinodon ,variegatus,739,2020
northern pipefish,Syngnathus,fuscus,2,2020
flounder (left-side),,,3,2020
goby,Gobiosoma,bosci,2,2020
hickory shad,Alosa,mediocris,1,2020
Atlantic silverside,Menidia,menidia,342,2019
striped killifish,Fundulus,majalis,22,2019
clupeiformes sp. (menhaden?),,,3,2019
northern pipefish,Syngnathus,fuscus,4,2019
summer flounder,Pseudopleuronectes,americanus,1,2019
butterfish,Peprilus ,triacanthus,9,2019
Atlantic mackerel,Scomber,scombrus,2,2019
sculpin sp.,,,2,2019
Atlantic silverside,Menidia,menidia,5158,2018
striped killifish,Fundulus,majalis,226,2018
clupeiformes sp,,,9,2018
other cyprinodontiformes sp,,,8,2018
northern pipefish,Syngnathus,fuscus,7,2018
stickleback,,,4,2018
darter,,,3,2018
summer flounder,Pseudopleuronectes,americanus,1,2018
permit,Trachinotus,falcatus,1,2018
northern puffer,Sphoeroides,maculatus,1,2018
Atlantic needlefish,Strongylura,marina,1,2018
Atlantic silverside,Menidia,menidia,1361,2017
Scup,Stenotomus,chrysops,880,2017
Striped Killifish,Fundulus,majalis,59,2017
Winter Flounder,Pseudopleuronectes,americanus,16,2017
Hickory Shad,Alosa,mediocris,6,2017
Atlantic menhaden,Brevoortia,tyrannus,2,2017
Pipefish,Syngnathus,fuscus,1,2017
Atlantic silverside,Menidia,menidia,1993,2016
Banded Killifish,Fundulus,diaphanous,76,2016
Striped Killifish,Fundulus,majalis,61,2016
Tessellated Darter,Etheostoma,olmstedi,21,2016
Mummichug,Fundulus,heteroclitus,11,2016
Pipefish,Syngnathus,fuscus,5,2016
Winter Flounder,Pseudopleuronectes,americanus,3,2016
Sheepshead Minnow,Cyprinodon,variegatus,3,2016
Bluefish,Pomatomus,salatrix,2,2016
American Eel,Anguila,rostrata,1,2016
Atlantic Needlefish,Strongylura,marina,1,2016
Atlantic silverside,Menidia,minidia,1785,2015
Striped Killifish,Fundulus,majalis,301,2015
Banded Killifish,Fundulus,diaphanus,33,2015
